"","coordinates_lat","coordinates_lon","date","zipCode"
"515",55.7293,12.5804825,2014-10-01,2900
"516",56.302612,10.481553,2012-06-15,8410
"517",56.108562,10.0724745,2000-07-02,8361
"518",55.814915,11.575155,2022-02-13,4571
"519",55.646893,12.617693,2002-03-04,2300
"520",55.688694,12.519134,2013-03-21,2000
"521",56.2475,10.263393,2018-03-13,8530
"522",56.211895,10.690369,2023-06-21,8400
"523",55.06263,10.596369,2017-04-07,5700
"524",54.891033,9.658458,2020-04-01,6310
"525",55.730152,12.5809555,2012-07-19,2900
"526",54.93967,9.406271,1992-05-07,6200
"527",55.526215,9.209985,2016-05-31,6621
"528",55.57337,9.747222,2023-10-06,7000
"529",55.368385,11.330904,2015-08-17,4200
"530",55.705044,12.586087,2009-12-23,2100
"531",55.311745,9.090952,2000-05-18,6510
"532",56.437485,9.399386,2005-06-02,8800
"533",55.693417,12.57639,2009-02-12,2100
"534",55.565155,10.454113,2004-07-09,5450
"535",55.626137,12.385328,1995-10-31,2665
"536",55.648335,12.488242,2019-10-24,2650
"537",55.93959,12.196286,2023-11-10,3320
"538",57.309746,10.236316,2006-02-07,9750
"539",56.946888,8.64465,2006-01-25,7700
"540",55.692116,12.525727,2008-08-24,2000
"541",55.692944,12.509723,1997-09-12,2720
"542",57.068375,9.910303,2021-12-08,9400
"543",55.23862,9.983515,2022-03-20,5631
"544",56.464134,10.031062,2003-04-23,8900
"545",55.392094,10.393901,2015-09-07,5000
"546",55.715973,11.756075,2002-09-29,4300
"547",56.23369,10.644286,2018-08-01,8400
"548",55.687946,12.5071125,2023-10-08,2000
"549",55.65615,12.566189,2006-08-22,2300
"550",55.774517,12.288407,1994-04-21,3660
"551",55.761604,8.95551,1993-09-24,7200
"552",55.555145,11.763632,2013-10-14,4360
"553",56.50581,9.341753,2006-03-20,8831
"554",55.61668,12.568758,2017-04-21,2300
"555",56.571545,8.163832,2002-05-29,7620
"556",56.94992,8.656325,2010-05-26,7700
"557",54.772114,11.508213,2023-10-26,4930
"558",55.201145,9.667641,2004-03-24,6100
"559",55.841003,8.8967,1998-05-05,7260
"560",55.672543,12.469962,2014-04-08,2610
"561",56.242157,10.581233,2001-01-21,8400
"562",56.036617,9.930002,2004-12-13,8660
"563",55.061317,9.396602,2005-12-05,6200
"564",55.655266,12.53582,2006-03-27,2450
"565",56.34753,8.642018,2024-10-31,7500
"566",56.54795,9.929126,1997-09-10,8990
"567",55.809982,12.493087,1995-05-14,2840
"568",55.701935,8.835255,2002-02-01,7200
"569",55.532463,12.229387,2018-07-02,2680
"570",55.509796,10.381255,2003-03-05,5450
"571",55.717953,11.738093,2019-10-17,4300
"572",55.058033,10.649784,2021-01-27,5700
"573",56.409584,10.901604,2007-12-22,8500
"574",55.472755,8.438237,2004-02-06,6700
"575",55.52359,9.645599,2020-12-25,7000
"576",56.14117,10.182676,2002-07-10,8000
"577",56.03404,12.60327,2000-06-22,3000
"578",55.355118,11.2469635,2022-02-07,4241
"579",55.426754,10.368809,1996-03-29,5270
"580",56.959038,8.723575,1999-04-22,7700
"581",55.780754,12.477229,1992-03-24,2830
"582",55.188435,9.464841,2001-06-11,6100
"583",55.90302,12.506379,2006-05-15,2970
"584",56.5771,9.007493,2005-11-10,7800
"585",55.116066,12.060364,2016-03-23,4720
"586",54.914692,9.196102,2011-04-01,6360
"587",55.075607,10.6420965,1994-06-27,5700
"588",56.17394,10.201936,2004-08-17,8200
"589",55.87248,11.669553,1992-11-22,4500
"590",56.515675,10.582763,1994-02-24,8585
"591",55.643826,12.262518,2005-11-17,2630
